time,header_stamp_secs,header_stamp_nsecs,header_frame_id,code,modifiers
2024/12/16 19:11:54.677748410,1734343914,677534554,,105,4096
2024/12/16 19:13:01.219267861,1734343981,219166260,,27,4096
2024/12/16 19:13:01.979288010,1734343981,979179106,,106,4096
2024/12/16 19:13:02.619360725,1734343982,619203427,,49,4096
2024/12/16 19:13:03.339331589,1734343983,339213682,,49,4096
2024/12/16 19:13:04.79336760,1734343984,79231504,,119,4096
2024/12/16 19:13:12.399558501,1734343992,399386052,,13,4096
2024/12/16 19:13:17.339778059,1734343997,339597588,,57,4096
2024/12/16 19:13:18.59771360,1734343998,59598110,,115,4096
2024/12/16 19:13:26.719847741,1734344006,719728971,,13,4096
2024/12/16 19:13:45.400372370,1734344025,400267779,,27,4096
2024/12/16 19:13:46.360397758,1734344026,360259063,,53,4096
2024/12/16 19:13:46.920383344,1734344026,920266337,,119,4096
2024/12/16 19:13:47.780264155,1734344027,780146616,,115,4096
2024/12/16 19:13:48.680461564,1734344028,680336959,,27,4096
2024/12/16 19:13:49.280554082,1734344029,280355636,,106,4096
2024/12/16 19:13:49.660364556,1734344029,660336700,,53,4096
2024/12/16 19:13:50.120516795,1734344030,120342485,,119,4096
2024/12/16 19:13:50.740448613,1734344030,740350709,,115,4096
2024/12/16 19:14:04.740703722,1734344044,740647594,,53,4096
2024/12/16 19:14:05.180765412,1734344045,180647242,,119,4096
2024/12/16 19:14:05.920736391,1734344045,920686704,,115,4096
2024/12/16 19:14:14.201067447,1734344054,200919311,,51,4096
2024/12/16 19:14:14.561081099,1734344054,560920733,,115,4096
2024/12/16 19:14:15.1117115,1734344055,974203,,119,4096
2024/12/16 19:14:20.841251218,1734344060,841128298,,53,4096
2024/12/16 19:14:21.143544216,1734344061,143376793,,115,4096
2024/12/16 19:14:23.401268632,1734344063,401128912,,55,4096
2024/12/16 19:14:23.741298345,1734344063,741163787,,119,4096
2024/12/16 19:14:38.841626810,1734344078,841437167,,56,4096
2024/12/16 19:14:38.961686142,1734344078,961501981,,119,4096
2024/12/16 19:14:50.201806393,1734344090,201686532,,115,4096
2024/12/16 19:14:50.981842074,1734344090,981691877,,55,4096
2024/12/16 19:14:51.561926000,1734344091,561789400,,119,4096
2024/12/16 19:14:55.202050039,1734344095,201862144,,119,4096
2024/12/16 19:15:01.2116985,1734344101,1999062,,119,4096
2024/12/16 19:15:02.442117084,1734344102,442025615,,119,4096
2024/12/16 19:16:08.683853703,1734344168,683697793,,27,4096
2024/12/16 19:16:09.403829526,1734344169,403671135,,106,4096
2024/12/16 19:16:09.803863092,1734344169,803697006,,57,4096
2024/12/16 19:16:10.303962929,1734344170,303808913,,119,4096
2024/12/16 19:16:12.343897074,1734344172,343744041,,119,4096
2024/12/16 19:16:13.423955321,1734344173,423854908,,13,4096
2024/12/16 19:16:14.623896766,1734344174,623778777,,57,4096
2024/12/16 19:16:15.763910024,1734344175,763810396,,119,4096
2024/12/16 19:16:20.264072429,1734344180,264035332,,13,4096
2024/12/16 19:16:20.383978627,1734344180,383947476,,13,4096
2024/12/16 19:16:20.524072640,1734344180,523915574,,13,4096
2024/12/16 19:16:21.24060179,1734344181,23930147,,27,4096
2024/12/16 19:16:21.184213925,1734344181,184022051,,106,4096
2024/12/16 19:16:25.104275011,1734344185,104175020,,57,4096
2024/12/16 19:16:25.324287511,1734344185,324137310,,119,4096
2024/12/16 19:16:34.584514768,1734344194,584276952,,13,4096
2024/12/16 19:16:34.844373655,1734344194,844261780,,13,4096
2024/12/16 19:16:35.4351102,1734344195,4225407,,13,4096
2024/12/16 19:16:35.344362010,1734344195,344238071,,27,4096
2024/12/16 19:16:35.884540534,1734344195,884360094,,49,4096
2024/12/16 19:16:36.604465393,1734344196,604336187,,115,4096
2024/12/16 19:16:38.504524105,1734344198,504397662,,49,4096
2024/12/16 19:16:38.784539812,1734344198,784448369,,115,4096
2024/12/16 19:16:39.384443539,1734344199,384325369,,115,4096
2024/12/16 19:16:40.224518909,1734344200,224484431,,13,4096
2024/12/16 19:16:41.284569268,1734344201,284430040,,115,4096
2024/12/16 19:16:43.924682815,1734344203,924499208,,13,4096
2024/12/16 19:16:44.384769864,1734344204,384656538,,27,4096
2024/12/16 19:16:44.564716358,1734344204,564634419,,27,4096
2024/12/16 19:16:45.364621833,1734344205,364445365,,106,4096
2024/12/16 19:16:45.664582298,1734344205,664440932,,49,4096
2024/12/16 19:16:45.884808145,1734344205,884661708,,115,4096
2024/12/16 19:16:46.44868802,1734344206,44700740,,115,4096
2024/12/16 19:16:46.724818781,1734344206,724654912,,115,4096
2024/12/16 19:16:53.864860580,1734344213,864750108,,13,4096
2024/12/16 19:16:56.44978311,1734344216,44848703,,115,4096
2024/12/16 19:16:57.424962263,1734344217,424822038,,13,4096
2024/12/16 19:18:40.767491279,1734344320,767386691,,27,4096
2024/12/16 19:18:47.87512252,1734344327,87401129,,55,4096
2024/12/16 19:18:48.150287848,1734344328,150234884,,119,4096
2024/12/16 19:18:48.847528664,1734344328,847412140,,115,4096
2024/12/16 19:18:50.27712741,1734344330,27582046,,27,4096
2024/12/16 19:18:50.467726312,1734344330,467594841,,106,4096
2024/12/16 19:18:50.827751923,1734344330,827574373,,55,4096
2024/12/16 19:18:51.247532724,1734344331,247408056,,119,4096
2024/12/16 19:18:52.47661618,1734344332,47617812,,115,4096
2024/12/16 19:18:53.707712992,1734344333,707579801,,115,4096
2024/12/16 19:18:54.687809519,1734344334,687697383,,115,4096
2024/12/16 19:18:55.627786319,1734344335,627660448,,115,4096
2024/12/16 19:18:56.287639768,1734344336,287610373,,115,4096
2024/12/16 19:18:57.427860431,1734344337,427677301,,115,4096
2024/12/16 19:18:58.407759888,1734344338,407664866,,115,4096
2024/12/16 19:18:59.407739505,1734344339,407558450,,115,4096
2024/12/16 19:19:00.707696563,1734344340,707570240,,115,4096
2024/12/16 19:19:01.367712076,1734344341,367596286,,115,4096
2024/12/16 19:19:14.248104656,1734344354,247980929,,115,4096
2024/12/16 19:19:15.988002620,1734344355,987896808,,115,4096
2024/12/16 19:19:16.948007396,1734344356,947907102,,119,4096
2024/12/16 19:19:18.88036479,1734344358,87931861,,115,4096
2024/12/16 19:19:19.28133285,1734344359,28004166,,115,4096
2024/12/16 19:19:19.328107181,1734344359,328017381,,115,4096
2024/12/16 19:19:20.128203341,1734344360,128023482,,115,4096
2024/12/16 19:19:22.188126414,1734344362,187992316,,115,4096
2024/12/16 19:19:23.748160199,1734344363,748027106,,115,4096
2024/12/16 19:19:42.128613768,1734344382,128415715,,55,4096
2024/12/16 19:19:43.608687777,1734344383,608493885,,115,4096
2024/12/16 19:19:44.428656080,1734344384,428467738,,115,4096
2024/12/16 19:19:45.908397882,1734344385,908365202,,115,4096
2024/12/16 19:19:46.808603456,1734344386,808448094,,115,4096
2024/12/16 19:19:47.828772039,1734344387,828566368,,119,4096
2024/12/16 19:19:49.488709069,1734344389,488573547,,119,4096
2024/12/16 19:19:51.488816180,1734344391,488579498,,115,4096
2024/12/16 19:19:53.868750762,1734344393,868568880,,115,4096
2024/12/16 19:19:55.68795461,1734344395,68579365,,115,4096
2024/12/16 19:19:55.888793907,1734344395,888596670,,115,4096
2024/12/16 19:19:56.448885537,1734344396,448750522,,115,4096
2024/12/16 19:19:57.508760795,1734344397,508587089,,115,4096
